Barrio;Año;Trismestre;Valor;Ambientes;Estado
Villa del Parque;2020;4;2795.49;2;Nuevo
Villa Devoto;2020;4;2890.89;2;Nuevo
Villa Luro;2020;4;2751.96;2;Nuevo
Villa Urquiza;2020;4;3093.73;2;Nuevo
Almagro;2021;1;2856.9;2;Nuevo
Balvanera;2021;1;2720.74;2;Nuevo
Belgrano;2021;1;3464.28;2;Nuevo
Boedo;2021;1;2644.17;2;Nuevo
Caballito;2021;1;3018.04;2;Nuevo
Coghlan;2021;1;2950.02;2;Nuevo
Colegiales;2021;1;3144.14;2;Nuevo
Flores;2021;1;2689.16;2;Nuevo
Liniers;2021;1;2493.39;2;Nuevo
Mataderos;2021;1;2621.97;2;Nuevo
Monte Castro;2021;1;2586.38;2;Nuevo
Núñez;2021;1;3398.33;2;Nuevo
Palermo;2021;1;3487.1;2;Nuevo
Parque Chacabuco;2021;1;2661;2;Nuevo
Recoleta;2021;1;3534.8;2;Nuevo
Saavedra;2021;1;2738.68;2;Nuevo
San Cristóbal;2021;1;;2;Nuevo
Villa Crespo;2021;1;2859.15;2;Nuevo
Villa del Parque;2021;1;2653.5;2;Nuevo
Villa Devoto;2021;1;2757.44;2;Nuevo
Villa Luro;2021;1;2722.49;2;Nuevo
Villa Urquiza;2021;1;3005.18;2;Nuevo
Almagro;2021;2;2810.34;2;Nuevo
Balvanera;2021;2;2717.07;2;Nuevo
Belgrano;2021;2;3429.26;2;Nuevo
Boedo;2021;2;2742.01;2;Nuevo
Caballito;2021;2;2939.76;2;Nuevo
Coghlan;2021;2;;2;Nuevo
Colegiales;2021;2;3053.18;2;Nuevo
Flores;2021;2;2611.1;2;Nuevo
Liniers;2021;2;2544.77;2;Nuevo
Mataderos;2021;2;2573.93;2;Nuevo
Monte Castro;2021;2;2608.57;2;Nuevo
Núñez;2021;2;3219.57;2;Nuevo
Palermo;2021;2;3448.21;2;Nuevo
Parque Chacabuco;2021;2;2489.28;2;Nuevo
Recoleta;2021;2;3554.63;2;Nuevo
Saavedra;2021;2;2594.73;2;Nuevo
San Cristóbal;2021;2;;2;Nuevo
Villa Crespo;2021;2;2772.62;2;Nuevo
Villa del Parque;2021;2;2573.48;2;Nuevo
Villa Devoto;2021;2;2667.61;2;Nuevo
Villa Luro;2021;2;2609.3;2;Nuevo
Villa Urquiza;2021;2;2966.14;2;Nuevo
Almagro;2021;3;2807.9;2;Nuevo
Balvanera;2021;3;2479.14;2;Nuevo
Belgrano;2021;3;3528.15;2;Nuevo
Boedo;2021;3;2643.02;2;Nuevo
Caballito;2021;3;2792.59;2;Nuevo
Coghlan;2021;3;2926.53;2;Nuevo
Colegiales;2021;3;2992.05;2;Nuevo
Flores;2021;3;2523.13;2;Nuevo
Liniers;2021;3;2468.65;2;Nuevo
Mataderos;2021;3;2418.12;2;Nuevo
Monte Castro;2021;3;2481.65;2;Nuevo
Núñez;2021;3;3117.08;2;Nuevo
Palermo;2021;3;3387.03;2;Nuevo
Parque Chacabuco;2021;3;2469.15;2;Nuevo
Recoleta;2021;3;3375.47;2;Nuevo
Saavedra;2021;3;;2;Nuevo
San Cristóbal;2021;3;2271.66;2;Nuevo
Villa Crespo;2021;3;2704.32;2;Nuevo
Villa del Parque;2021;3;2483.28;2;Nuevo
Villa Devoto;2021;3;2614.55;2;Nuevo
Villa Luro;2021;3;2637.45;2;Nuevo
Villa Urquiza;2021;3;2926.02;2;Nuevo
Almagro;2021;4;2750.45;2;Nuevo
Balvanera;2021;4;2472.34;2;Nuevo
Belgrano;2021;4;3282.19;2;Nuevo
Boedo;2021;4;2506.66;2;Nuevo
Caballito;2021;4;2805.62;2;Nuevo
Coghlan;2021;4;;2;Nuevo
Colegiales;2021;4;2821.6;2;Nuevo
Flores;2021;4;2396.58;2;Nuevo
Liniers;2021;4;2490.53;2;Nuevo
Mataderos;2021;4;2568.1;2;Nuevo
Monte Castro;2021;4;2427.69;2;Nuevo
Núñez;2021;4;3176.41;2;Nuevo
Palermo;2021;4;3286.93;2;Nuevo
Parque Chacabuco;2021;4;;2;Nuevo
Recoleta;2021;4;3266.06;2;Nuevo
Saavedra;2021;4;2641.76;2;Nuevo
San Cristóbal;2021;4;2268.64;2;Nuevo
Villa Crespo;2021;4;2639.87;2;Nuevo
Villa del Parque;2021;4;2494.34;2;Nuevo
Villa Devoto;2021;4;2704.25;2;Nuevo
Villa Luro;2021;4;2553.08;2;Nuevo
Villa Urquiza;2021;4;2876.96;2;Nuevo
Almagro;2022;1;2680.64;2;Nuevo
Balvanera;2022;1;2458.71;2;Nuevo
Belgrano;2022;1;3363;2;Nuevo
Boedo;2022;1;2608.86;2;Nuevo
Caballito;2022;1;2754.28;2;Nuevo
Coghlan;2022;1;2780.24;2;Nuevo
Colegiales;2022;1;2913.23;2;Nuevo
Flores;2022;1;2393.67;2;Nuevo
Liniers;2022;1;2448.62;2;Nuevo
Mataderos;2022;1;2420.54;2;Nuevo
Monte Castro;2022;1;2386;2;Nuevo
Núñez;2022;1;2990.94;2;Nuevo
Palermo;2022;1;3281.57;2;Nuevo
Parque Chacabuco;2022;1;2519.54;2;Nuevo
Recoleta;2022;1;3269.19;2;Nuevo
Saavedra;2022;1;2587.91;2;Nuevo
San Cristóbal;2022;1;2268.5;2;Nuevo
Villa Crespo;2022;1;2631.62;2;Nuevo
Villa del Parque;2022;1;2365.42;2;Nuevo
Villa Devoto;2022;1;2672.21;2;Nuevo
Villa Luro;2022;1;2430.64;2;Nuevo
Villa Urquiza;2022;1;2839.88;2;Nuevo
Almagro;2022;2;2736.43;2;Nuevo
Balvanera;2022;2;2382.74;2;Nuevo
Belgrano;2022;2;3215.47;2;Nuevo
Boedo;2022;2;2468.02;2;Nuevo
Caballito;2022;2;2726.87;2;Nuevo
Coghlan;2022;2;2787.41;2;Nuevo
Colegiales;2022;2;2750.4;2;Nuevo
Flores;2022;2;2415.8;2;Nuevo
Liniers;2022;2;2496.31;2;Nuevo
Mataderos;2022;2;2366.4;2;Nuevo
Monte Castro;2022;2;2346.06;2;Nuevo
Núñez;2022;2;3069.32;2;Nuevo
Palermo;2022;2;3205.01;2;Nuevo
Parque Chacabuco;2022;2;;2;Nuevo
Recoleta;2022;2;3336.09;2;Nuevo
Saavedra;2022;2;2563.6;2;Nuevo
San Cristóbal;2022;2;;2;Nuevo
Villa Crespo;2022;2;2659.15;2;Nuevo
Villa del Parque;2022;2;2374.06;2;Nuevo
Villa Devoto;2022;2;2672.16;2;Nuevo
Villa Luro;2022;2;2501.85;2;Nuevo
Villa Urquiza;2022;2;2752.21;2;Nuevo
Almagro;2022;3;2560.22;2;Nuevo
Balvanera;2022;3;2371.4;2;Nuevo
Belgrano;2022;3;3188.44;2;Nuevo
Boedo;2022;3;2284.59;2;Nuevo
Caballito;2022;3;2684.36;2;Nuevo
Coghlan;2022;3;2780.59;2;Nuevo
Colegiales;2022;3;2805.63;2;Nuevo
Flores;2022;3;2403.18;2;Nuevo
Liniers;2022;3;2329.81;2;Nuevo
Mataderos;2022;3;2318.2;2;Nuevo
Monte Castro;2022;3;2262.46;2;Nuevo
Núñez;2022;3;2926.77;2;Nuevo
Palermo;2022;3;3158.81;2;Nuevo
Parque Chacabuco;2022;3;2375.09;2;Nuevo
Recoleta;2022;3;3246.8;2;Nuevo
Saavedra;2022;3;2614.69;2;Nuevo
San Cristóbal;2022;3;2079.52;2;Nuevo
Villa Crespo;2022;3;2616.27;2;Nuevo
Villa del Parque;2022;3;2317.22;2;Nuevo
Villa Devoto;2022;3;;2;Nuevo
Villa Luro;2022;3;2458.88;2;Nuevo
Villa Urquiza;2022;3;2701.73;2;Nuevo
Almagro;2022;4;2511.83;2;Nuevo
Balvanera;2022;4;2222.03;2;Nuevo
Belgrano;2022;4;3163.13;2;Nuevo
Boedo;2022;4;2281.92;2;Nuevo
Caballito;2022;4;2595.31;2;Nuevo
Coghlan;2022;4;2748.28;2;Nuevo
Colegiales;2022;4;;2;Nuevo
Flores;2022;4;2328.7;2;Nuevo
Liniers;2022;4;2275.53;2;Nuevo
Mataderos;2022;4;2302.05;2;Nuevo
Monte Castro;2022;4;2189.02;2;Nuevo
Núñez;2022;4;2976.96;2;Nuevo
Palermo;2022;4;3189.45;2;Nuevo
Parque Chacabuco;2022;4;2366.3;2;Nuevo
Recoleta;2022;4;;2;Nuevo
Saavedra;2022;4;2559.79;2;Nuevo
San Cristóbal;2022;4;1967.83;2;Nuevo
Villa Crespo;2022;4;2455.89;2;Nuevo
Villa del Parque;2022;4;2292.44;2;Nuevo
Villa Devoto;2022;4;2543.97;2;Nuevo
Villa Luro;2022;4;2329.8;2;Nuevo
Villa Urquiza;2022;4;2724.64;2;Nuevo
Almagro;2023;1;2474.1;2;Nuevo
Balvanera;2023;1;2313.42;2;Nuevo
Belgrano;2023;1;3209.65;2;Nuevo
Boedo;2023;1;2213.78;2;Nuevo
Caballito;2023;1;2603.23;2;Nuevo
Coghlan;2023;1;2555.09;2;Nuevo
Colegiales;2023;1;2895.69;2;Nuevo
Flores;2023;1;2289.67;2;Nuevo
Liniers;2023;1;2261.57;2;Nuevo
Mataderos;2023;1;2252.93;2;Nuevo
Monte Castro;2023;1;2264.96;2;Nuevo
Núñez;2023;1;3067.97;2;Nuevo
Palermo;2023;1;3287.98;2;Nuevo
Parque Chacabuco;2023;1;2319.76;2;Nuevo
Recoleta;2023;1;3237.01;2;Nuevo
Saavedra;2023;1;2575.56;2;Nuevo
San Cristóbal;2023;1;1937.68;2;Nuevo
Villa Crespo;2023;1;2498.28;2;Nuevo
Villa del Parque;2023;1;2275.28;2;Nuevo
Villa Devoto;2023;1;2568.23;2;Nuevo
Villa Luro;2023;1;2323.11;2;Nuevo
Villa Urquiza;2023;1;2715.3;2;Nuevo
Almagro;2023;2;2518.04;2;Nuevo
Balvanera;2023;2;2344.02;2;Nuevo
Belgrano;2023;2;3127.24;2;Nuevo
Boedo;2023;2;2204.2;2;Nuevo
Caballito;2023;2;2612.68;2;Nuevo
Coghlan;2023;2;2679.45;2;Nuevo
Colegiales;2023;2;2882.36;2;Nuevo
Flores;2023;2;2272.15;2;Nuevo
Liniers;2023;2;2296.41;2;Nuevo
Mataderos;2023;2;2171.88;2;Nuevo
Monte Castro;2023;2;2262.12;2;Nuevo
Núñez;2023;2;2918.84;2;Nuevo
Palermo;2023;2;3342.96;2;Nuevo
Parque Chacabuco;2023;2;2222.36;2;Nuevo
Recoleta;2023;2;3358.13;2;Nuevo
Saavedra;2023;2;2548.05;2;Nuevo
San Cristóbal;2023;2;2065.98;2;Nuevo
Villa Crespo;2023;2;2487.75;2;Nuevo
Villa del Parque;2023;2;2258.58;2;Nuevo
Villa Devoto;2023;2;2491.46;2;Nuevo
Villa Luro;2023;2;2286.24;2;Nuevo
Villa Urquiza;2023;2;2740.53;2;Nuevo
Almagro;2023;3;2425.16;2;Nuevo
Balvanera;2023;3;2237.07;2;Nuevo
Belgrano;2023;3;3029.06;2;Nuevo
Boedo;2023;3;2218.41;2;Nuevo
Caballito;2023;3;2584.73;2;Nuevo
Coghlan;2023;3;2505.17;2;Nuevo
Colegiales;2023;3;2817.34;2;Nuevo
