Barrio;Año;Trimestre;Valor;Ambientes;Estado
Flores;2019;4;2171.76;3;Usado
Floresta;2019;4;2087.89;3;Usado
Liniers;2019;4;2071.73;3;Usado
Mataderos;2019;4;2113.69;3;Usado
Monte Castro;2019;4;2324.52;3;Usado
Montserrat;2019;4;2059.31;3;Usado
Nueva Pompeya;2019;4;1822.91;3;Usado
Núñez;2019;4;3208.87;3;Usado
Palermo;2019;4;3323.38;3;Usado
Parque Avellaneda;2019;4;1796.23;3;Usado
Parque Chacabuco;2019;4;2402.23;3;Usado
Parque Patricios;2019;4;2028.95;3;Usado
Puerto Madero;2019;4;5455.39;3;Usado
Recoleta;2019;4;3198;3;Usado
Retiro;2019;4;3250.6;3;Usado
Saavedra;2019;4;2953.89;3;Usado
San Cristóbal;2019;4;2075.16;3;Usado
San Nicolás;2019;4;2205.96;3;Usado
San Telmo;2019;4;2160.03;3;Usado
Vélez Sarsfield;2019;4;2001.11;3;Usado
Villa Crespo;2019;4;2482.94;3;Usado
Villa del Parque;2019;4;2484.42;3;Usado
Villa Devoto;2019;4;2768.08;3;Usado
Villa Gral. Mitre;2019;4;2292.75;3;Usado
Villa Lugano;2019;4;1208.49;3;Usado
Villa Luro;2019;4;2241.32;3;Usado
Villa Ortúzar;2019;4;2933.47;3;Usado
Villa Pueyrredón;2019;4;2693.6;3;Usado
Villa Santa Rita;2019;4;2538.47;3;Usado
Villa Urquiza;2019;4;3192.78;3;Usado
Almagro;2020;1;2505.99;3;Usado
Balvanera;2020;1;2091.93;3;Usado
Barracas;2020;1;2347.14;3;Usado
Belgrano;2020;1;3189.17;3;Usado
Boca;2020;1;1838.88;3;Usado
Boedo;2020;1;2367.55;3;Usado
Caballito;2020;1;2605.74;3;Usado
Chacarita;2020;1;2619.35;3;Usado
Coghlan;2020;1;2872.22;3;Usado
Colegiales;2020;1;3037.03;3;Usado
Constitución;2020;1;1687.99;3;Usado
Flores;2020;1;2162.01;3;Usado
Floresta;2020;1;1973.33;3;Usado
Liniers;2020;1;;3;Usado
Mataderos;2020;1;2045.29;3;Usado
Monte Castro;2020;1;2360.9;3;Usado
Montserrat;2020;1;2041.2;3;Usado
Nueva Pompeya;2020;1;1885.07;3;Usado
Núñez;2020;1;3197.97;3;Usado
Palermo;2020;1;3192.99;3;Usado
Parque Avellaneda;2020;1;1714.09;3;Usado
Parque Chacabuco;2020;1;2367.51;3;Usado
Parque Patricios;2020;1;1945.51;3;Usado
Puerto Madero;2020;1;5477.39;3;Usado
Recoleta;2020;1;3113.63;3;Usado
Retiro;2020;1;3140.75;3;Usado
Saavedra;2020;1;2960.1;3;Usado
San Cristóbal;2020;1;2036.3;3;Usado
San Nicolás;2020;1;2190.14;3;Usado
San Telmo;2020;1;2189.03;3;Usado
Vélez Sarsfield;2020;1;2018.12;3;Usado
Villa Crespo;2020;1;2468.85;3;Usado
Villa del Parque;2020;1;2543.17;3;Usado
Villa Devoto;2020;1;2732.05;3;Usado
Villa Gral. Mitre;2020;1;2300.41;3;Usado
Villa Lugano;2020;1;1094.73;3;Usado
Villa Luro;2020;1;2255.77;3;Usado
Villa Ortúzar;2020;1;2795.77;3;Usado
Villa Pueyrredón;2020;1;2716.47;3;Usado
Villa Santa Rita;2020;1;2490.98;3;Usado
Villa Urquiza;2020;1;3178.78;3;Usado
Almagro;2020;2;2437.97;3;Usado
Balvanera;2020;2;2036.84;3;Usado
Barracas;2020;2;2247.02;3;Usado
Belgrano;2020;2;3079.93;3;Usado
Boca;2020;2;1817.15;3;Usado
Boedo;2020;2;2287.65;3;Usado
Caballito;2020;2;2605.7;3;Usado
Chacarita;2020;2;2508.26;3;Usado
Coghlan;2020;2;2873.52;3;Usado
Colegiales;2020;2;2962.93;3;Usado
Constitución;2020;2;1695.9;3;Usado
Flores;2020;2;2130.78;3;Usado
Floresta;2020;2;1999.48;3;Usado
Liniers;2020;2;;3;Usado
Mataderos;2020;2;1933.02;3;Usado
Monte Castro;2020;2;2286.53;3;Usado
Montserrat;2020;2;2024.39;3;Usado
Nueva Pompeya;2020;2;1864.57;3;Usado
Núñez;2020;2;3086.97;3;Usado
Palermo;2020;2;3119.02;3;Usado
Parque Avellaneda;2020;2;1679.19;3;Usado
Parque Chacabuco;2020;2;2415.43;3;Usado
Parque Patricios;2020;2;1945.89;3;Usado
Puerto Madero;2020;2;5345.1;3;Usado
Recoleta;2020;2;3099.89;3;Usado
Retiro;2020;2;3209.47;3;Usado
Saavedra;2020;2;2917.4;3;Usado
San Cristóbal;2020;2;2023.99;3;Usado
San Nicolás;2020;2;2210.71;3;Usado
San Telmo;2020;2;2216.21;3;Usado
Vélez Sarsfield;2020;2;1984.25;3;Usado
Villa Crespo;2020;2;2458.87;3;Usado
Villa del Parque;2020;2;2520.47;3;Usado
Villa Devoto;2020;2;2706.74;3;Usado
Villa Gral. Mitre;2020;2;2286.2;3;Usado
Villa Lugano;2020;2;1156.59;3;Usado
Villa Luro;2020;2;2206.29;3;Usado
Villa Ortúzar;2020;2;2938.64;3;Usado
Villa Pueyrredón;2020;2;2746.1;3;Usado
Villa Santa Rita;2020;2;2419.17;3;Usado
Villa Urquiza;2020;2;3134.88;3;Usado
Almagro;2020;3;2370.63;3;Usado
Balvanera;2020;3;2008.55;3;Usado
Barracas;2020;3;2243.35;3;Usado
Belgrano;2020;3;3004.98;3;Usado
Boca;2020;3;1796.08;3;Usado
Boedo;2020;3;;3;Usado
Caballito;2020;3;2587.34;3;Usado
Chacarita;2020;3;2405.47;3;Usado
Coghlan;2020;3;2900.74;3;Usado
Colegiales;2020;3;3016.57;3;Usado
Constitución;2020;3;;3;Usado
Flores;2020;3;2057.95;3;Usado
Floresta;2020;3;2012.43;3;Usado
Liniers;2020;3;;3;Usado
Mataderos;2020;3;1909.36;3;Usado
Monte Castro;2020;3;;3;Usado
Montserrat;2020;3;2004.59;3;Usado
Nueva Pompeya;2020;3;1833.54;3;Usado
Núñez;2020;3;3027.58;3;Usado
Palermo;2020;3;3142.03;3;Usado
Parque Avellaneda;2020;3;1590.27;3;Usado
Parque Chacabuco;2020;3;2356.83;3;Usado
Parque Patricios;2020;3;1870.35;3;Usado
Puerto Madero;2020;3;5318.95;3;Usado
Recoleta;2020;3;3003.86;3;Usado
Retiro;2020;3;3033.81;3;Usado
Saavedra;2020;3;2864.61;3;Usado
San Cristóbal;2020;3;1977.3;3;Usado
San Nicolás;2020;3;2188.78;3;Usado
San Telmo;2020;3;2109.66;3;Usado
Vélez Sarsfield;2020;3;1968.24;3;Usado
Villa Crespo;2020;3;2389.29;3;Usado
Villa del Parque;2020;3;2449.58;3;Usado
Villa Devoto;2020;3;2618.47;3;Usado
Villa Gral. Mitre;2020;3;2194.56;3;Usado
Villa Lugano;2020;3;1118.8;3;Usado
Villa Luro;2020;3;;3;Usado
Villa Ortúzar;2020;3;2759.48;3;Usado
Villa Pueyrredón;2020;3;;3;Usado
Villa Santa Rita;2020;3;2353.14;3;Usado
Villa Urquiza;2020;3;3139.27;3;Usado
Almagro;2020;4;2322.55;3;Usado
Balvanera;2020;4;1959.68;3;Usado
Barracas;2020;4;2312.59;3;Usado
Belgrano;2020;4;2985.62;3;Usado
Boca;2020;4;1751.31;3;Usado
Boedo;2020;4;2260.91;3;Usado
Caballito;2020;4;2504.4;3;Usado
Chacarita;2020;4;2403.15;3;Usado
Coghlan;2020;4;2812.84;3;Usado
Colegiales;2020;4;2791.76;3;Usado
Constitución;2020;4;1602.64;3;Usado
Flores;2020;4;2028.74;3;Usado
Floresta;2020;4;2031.2;3;Usado
Liniers;2020;4;2051.12;3;Usado
Mataderos;2020;4;1926.81;3;Usado
Monte Castro;2020;4;2208.57;3;Usado
Montserrat;2020;4;1950.22;3;Usado
Nueva Pompeya;2020;4;1723.97;3;Usado
Núñez;2020;4;3014.14;3;Usado
Palermo;2020;4;3064.67;3;Usado
Parque Avellaneda;2020;4;1558;3;Usado
Parque Chacabuco;2020;4;2312.28;3;Usado
Parque Patricios;2020;4;1855.68;3;Usado
Puerto Madero;2020;4;5190.23;3;Usado
Recoleta;2020;4;2946.6;3;Usado
Retiro;2020;4;3006.39;3;Usado
Saavedra;2020;4;2799.86;3;Usado
San Cristóbal;2020;4;1933.77;3;Usado
San Nicolás;2020;4;2053.41;3;Usado
San Telmo;2020;4;2094.07;3;Usado
Vélez Sarsfield;2020;4;1980.79;3;Usado
Villa Crespo;2020;4;2351.34;3;Usado
Villa del Parque;2020;4;2321.06;3;Usado
Villa Devoto;2020;4;2606.61;3;Usado
Villa Gral. Mitre;2020;4;2105.01;3;Usado
Villa Lugano;2020;4;1086.42;3;Usado
Villa Luro;2020;4;;3;Usado
Villa Ortúzar;2020;4;2543.53;3;Usado
Villa Pueyrredón;2020;4;2504.9;3;Usado
Villa Santa Rita;2020;4;2308.81;3;Usado
Villa Urquiza;2020;4;2995.05;3;Usado
Almagro;2021;1;2326.82;3;Usado
