Barrio;Año;Trimestre;Valor;Ambiente;Estado
Palermo;2024;3;3514.37;1;Nuevo
Recoleta;2024;3;3334.96;1;Nuevo
Saavedra;2024;3;2657.24;1;Nuevo
San Cristóbal;2024;3;2134.72;1;Nuevo
Villa Crespo;2024;3;2743.59;1;Nuevo
Villa Devoto;2024;3;2623.1;1;Nuevo
Villa Luro;2024;3;2266.41;1;Nuevo
Villa Urquiza;2024;3;2758.06;1;Nuevo
Almagro;2024;4;2620.71;1;Nuevo
Balvanera;2024;4;2369.01;1;Nuevo
Belgrano;2024;4;3319.19;1;Nuevo
Caballito;2024;4;2709.47;1;Nuevo
Colegiales;2024;4;3238.73;1;Nuevo
Flores;2024;4;;1;Nuevo
Liniers;2024;4;2276.93;1;Nuevo
Montserrat;2024;4;;1;Nuevo
Núñez;2024;4;3197.8;1;Nuevo
Palermo;2024;4;3568.41;1;Nuevo
Recoleta;2024;4;3425.33;1;Nuevo
Saavedra;2024;4;2722.86;1;Nuevo
San Cristóbal;2024;4;2232.12;1;Nuevo
Villa Crespo;2024;4;2708.42;1;Nuevo
Villa Devoto;2024;4;2596.64;1;Nuevo
Villa Luro;2024;4;2220.84;1;Nuevo
Villa Urquiza;2024;4;2886.13;1;Nuevo
Almagro;2025;1;2700.75;1;Nuevo
Balvanera;2025;1;2406.16;1;Nuevo
Belgrano;2025;1;3482.59;1;Nuevo
Caballito;2025;1;2803.13;1;Nuevo
Colegiales;2025;1;3392.77;1;Nuevo
Flores;2025;1;2287.97;1;Nuevo
Liniers;2025;1;2309.77;1;Nuevo
Montserrat;2025;1;;1;Nuevo
Núñez;2025;1;3372.16;1;Nuevo
Palermo;2025;1;3648.23;1;Nuevo
Recoleta;2025;1;3323.71;1;Nuevo
Saavedra;2025;1;;1;Nuevo
San Cristóbal;2025;1;2195.56;1;Nuevo
Villa Crespo;2025;1;2736.9;1;Nuevo
Villa Devoto;2025;1;2765.81;1;Nuevo
Villa Luro;2025;1;2310.95;1;Nuevo
Villa Urquiza;2025;1;3022.22;1;Nuevo
Almagro;2025;2;2729.62;1;Nuevo
Balvanera;2025;2;2422.37;1;Nuevo
Belgrano;2025;2;3562.65;1;Nuevo
Caballito;2025;2;2790.66;1;Nuevo
Colegiales;2025;2;3366.01;1;Nuevo
Flores;2025;2;2372.71;1;Nuevo
Liniers;2025;2;2301.08;1;Nuevo
Montserrat;2025;2;3070.19;1;Nuevo
Núñez;2025;2;3399.51;1;Nuevo
Palermo;2025;2;3629.97;1;Nuevo
Recoleta;2025;2;3392.9;1;Nuevo
Saavedra;2025;2;;1;Nuevo
San Cristóbal;2025;2;2285.3;1;Nuevo
Villa Crespo;2025;2;2750.36;1;Nuevo
Villa Devoto;2025;2;2939.39;1;Nuevo
Villa Luro;2025;2;2366.27;1;Nuevo
Villa Urquiza;2025;2;2984.16;1;Nuevo
Almagro;2025;3;2727.16;1;Nuevo
Balvanera;2025;3;2533.51;1;Nuevo
Belgrano;2025;3;3533.94;1;Nuevo
Caballito;2025;3;2801.13;1;Nuevo
Colegiales;2025;3;;1;Nuevo
Flores;2025;3;2444.42;1;Nuevo
Liniers;2025;3;2379.56;1;Nuevo
Montserrat;2025;3;2907.89;1;Nuevo
Núñez;2025;3;3535.72;1;Nuevo
Palermo;2025;3;3729.55;1;Nuevo
Recoleta;2025;3;3516.14;1;Nuevo
Saavedra;2025;3;;1;Nuevo
San Cristóbal;2025;3;2270.14;1;Nuevo
Villa Crespo;2025;3;2843.98;1;Nuevo
Villa Devoto;2025;3;2886.52;1;Nuevo
Villa Luro;2025;3;2374.24;1;Nuevo
Villa Urquiza;2025;3;3028.46;1;Nuevo
